Year;River Segments;Migracion (m/year);Periodo;Zone
1984-1987;1;2.2913;Minimal mining;A1
1984-1987;1;4.1927;Minimal mining;A1
1984-1987;1;4.2407;Minimal mining;A1
1984-1987;1;5.5177;Minimal mining;A1
1984-1987;1;6.4247;Minimal mining;A1
1984-1987;1;7.0427;Minimal mining;A1
1984-1987;1;7.941;Minimal mining;A1
1984-1987;1;8.025;Minimal mining;A1
1984-1987;1;8.0327;Minimal mining;A1
1984-1987;1;8.2523;Minimal mining;A1
1984-1987;1;8.302;Minimal mining;A1
1984-1987;1;8.6903;Minimal mining;A1
1984-1987;1;8.8343;Minimal mining;A1
1984-1987;1;8.8867;Minimal mining;A1
1984-1987;1;9.5997;Minimal mining;A1
1984-1987;1;9.6833;Minimal mining;A1
1984-1987;1;9.942;Minimal mining;A1
1984-1987;1;10.52;Minimal mining;A1
1984-1987;1;11.588;Minimal mining;A1
1984-1987;1;11.9093;Minimal mining;A1
1984-1987;1;11.914;Minimal mining;A1
1984-1987;1;12.2817;Minimal mining;A1
1984-1987;1;12.9087;Minimal mining;A1
1984-1987;1;13.14;Minimal mining;A1
1984-1987;1;14.1913;Minimal mining;A1
1984-1987;1;14.4327;Minimal mining;A1
1984-1987;1;15.063;Minimal mining;A1
1984-1987;1;15.3297;Minimal mining;A1
1984-1987;1;15.3973;Minimal mining;A1
1984-1987;1;15.608;Minimal mining;A1
1984-1987;1;15.9837;Minimal mining;A1
1984-1987;1;16.0023;Minimal mining;A1
1984-1987;1;16.1843;Minimal mining;A1
1984-1987;1;16.4257;Minimal mining;A1
1984-1987;1;17.7397;Minimal mining;A1
1984-1987;1;19.2363;Minimal mining;A1
1984-1987;1;19.854;Minimal mining;A1
1984-1987;1;21.114;Minimal mining;A1
1984-1987;1;21.3943;Minimal mining;A1
1984-1987;1;21.6873;Minimal mining;A1
1984-1987;1;21.859;Minimal mining;A1
1984-1987;1;22.2863;Minimal mining;A1
1984-1987;1;22.6753;Minimal mining;A1
1984-1987;1;22.9377;Minimal mining;A1
1984-1987;1;23.1007;Minimal mining;A1
1984-1987;1;23.5907;Minimal mining;A1
1984-1987;1;24.5517;Minimal mining;A1
1984-1987;1;25.5813;Minimal mining;A1
1984-1987;1;25.786;Minimal mining;A1
1984-1987;1;30.1377;Minimal mining;A1
1984-1987;1;30.6987;Minimal mining;A1
1984-1987;1;31.119;Minimal mining;A1
1984-1987;1;33.609;Minimal mining;A1
1984-1987;1;35.79;Minimal mining;A1
1984-1987;1;52.8113;Minimal mining;A1
1984-1987;1;53.3333;Minimal mining;A1
1984-1987;1;64.6367;Minimal mining;A1
1987-1992;1;12.9922;Minimal mining;A1
1987-1992;1;11.6346;Minimal mining;A1
1987-1992;1;6.6056;Minimal mining;A1
1987-1992;1;13.325;Minimal mining;A1
1987-1992;1;17.5228;Minimal mining;A1
1987-1992;1;19.517;Minimal mining;A1
1987-1992;1;21.2776;Minimal mining;A1
1987-1992;1;13.8012;Minimal mining;A1
1987-1992;1;4.7588;Minimal mining;A1
1987-1992;1;7.0208;Minimal mining;A1
1987-1992;1;8.2858;Minimal mining;A1
1987-1992;1;8.2756;Minimal mining;A1
1987-1992;1;8.268;Minimal mining;A1
1987-1992;1;7.6142;Minimal mining;A1
1987-1992;1;7.4494;Minimal mining;A1
1987-1992;1;8.0872;Minimal mining;A1
1987-1992;1;12.0758;Minimal mining;A1
1987-1992;1;12.2862;Minimal mining;A1
1987-1992;1;11.8462;Minimal mining;A1
1987-1992;1;9.4884;Minimal mining;A1
1987-1992;1;11.5958;Minimal mining;A1
1987-1992;1;4.8616;Minimal mining;A1
1987-1992;1;8.8316;Minimal mining;A1
1987-1992;1;13.8436;Minimal mining;A1
1987-1992;1;7.544;Minimal mining;A1
1987-1992;1;15.4362;Minimal mining;A1
1987-1992;1;16.2404;Minimal mining;A1
1987-1992;1;3.7366;Minimal mining;A1
1987-1992;1;6.0928;Minimal mining;A1
1987-1992;1;4.1412;Minimal mining;A1
1987-1992;1;2.7356;Minimal mining;A1
1987-1992;1;2.619;Minimal mining;A1
1987-1992;1;4.123;Minimal mining;A1
1987-1992;1;5.3242;Minimal mining;A1
1987-1992;1;2.2732;Minimal mining;A1
1987-1992;1;1.3196;Minimal mining;A1
1987-1992;1;6.17;Minimal mining;A1
1987-1992;1;5.4686;Minimal mining;A1
1987-1992;1;10.649;Minimal mining;A1
1987-1992;1;9.578;Minimal mining;A1
1987-1992;1;3.1178;Minimal mining;A1
1987-1992;1;1.3272;Minimal mining;A1
1987-1992;1;3.0922;Minimal mining;A1
1987-1992;1;1.9866;Minimal mining;A1
1987-1992;1;2.2184;Minimal mining;A1
1987-1992;1;2.0762;Minimal mining;A1
1987-1992;1;6.0306;Minimal mining;A1
1992-1996;1;0.3635;Minimal mining;A1
1992-1996;1;0.9523;Minimal mining;A1
1992-1996;1;1.0215;Minimal mining;A1
1992-1996;1;1.1375;Minimal mining;A1
1992-1996;1;1.3213;Minimal mining;A1
1992-1996;1;1.35;Minimal mining;A1
1992-1996;1;1.5413;Minimal mining;A1
1992-1996;1;2.0278;Minimal mining;A1
1992-1996;1;2.0455;Minimal mining;A1
1992-1996;1;2.1048;Minimal mining;A1
1992-1996;1;2.4523;Minimal mining;A1
1992-1996;1;2.6853;Minimal mining;A1
1992-1996;1;2.6895;Minimal mining;A1
1992-1996;1;2.7348;Minimal mining;A1
1992-1996;1;2.794;Minimal mining;A1
1992-1996;1;2.859;Minimal mining;A1
1992-1996;1;2.8605;Minimal mining;A1
1992-1996;1;2.9558;Minimal mining;A1
1992-1996;1;2.9903;Minimal mining;A1
1992-1996;1;3.0653;Minimal mining;A1
1992-1996;1;3.1308;Minimal mining;A1
1992-1996;1;3.1475;Minimal mining;A1
1992-1996;1;3.252;Minimal mining;A1
1992-1996;1;3.3365;Minimal mining;A1
1992-1996;1;3.4453;Minimal mining;A1
1992-1996;1;3.5683;Minimal mining;A1
1992-1996;1;3.6275;Minimal mining;A1
1992-1996;1;3.6953;Minimal mining;A1
1992-1996;1;3.782;Minimal mining;A1
1992-1996;1;3.7913;Minimal mining;A1
1992-1996;1;3.8048;Minimal mining;A1
1992-1996;1;3.8348;Minimal mining;A1
1992-1996;1;3.8418;Minimal mining;A1
1992-1996;1;3.849;Minimal mining;A1
1992-1996;1;3.9225;Minimal mining;A1
1992-1996;1;4.1338;Minimal mining;A1
1992-1996;1;4.171;Minimal mining;A1
1992-1996;1;4.1878;Minimal mining;A1
1992-1996;1;4.2;Minimal mining;A1
1992-1996;1;4.3385;Minimal mining;A1
1992-1996;1;4.5088;Minimal mining;A1
1992-1996;1;4.549;Minimal mining;A1
1992-1996;1;4.6533;Minimal mining;A1
1992-1996;1;4.7988;Minimal mining;A1
1992-1996;1;4.8578;Minimal mining;A1
1992-1996;1;4.8908;Minimal mining;A1
1992-1996;1;4.9058;Minimal mining;A1
1992-1996;1;5.169;Minimal mining;A1
1992-1996;1;5.2353;Minimal mining;A1
1992-1996;1;5.282;Minimal mining;A1
1992-1996;1;5.3893;Minimal mining;A1
1992-1996;1;5.6405;Minimal mining;A1
1992-1996;1;5.7863;Minimal mining;A1
1992-1996;1;5.799;Minimal mining;A1
1992-1996;1;5.8375;Minimal mining;A1
1992-1996;1;5.957;Minimal mining;A1
1992-1996;1;6.0573;Minimal mining;A1
1992-1996;1;6.1848;Minimal mining;A1
1992-1996;1;6.4805;Minimal mining;A1
1992-1996;1;6.481;Minimal mining;A1
1992-1996;1;6.6415;Minimal mining;A1
1992-1996;1;6.652;Minimal mining;A1
1992-1996;1;6.67;Minimal mining;A1
1992-1996;1;6.732;Minimal mining;A1
1992-1996;1;6.7618;Minimal mining;A1
1992-1996;1;6.7768;Minimal mining;A1
1992-1996;1;6.8828;Minimal mining;A1
1992-1996;1;6.9105;Minimal mining;A1
1992-1996;1;7.0288;Minimal mining;A1
1992-1996;1;7.0593;Minimal mining;A1
1992-1996;1;7.4193;Minimal mining;A1
1992-1996;1;7.5188;Minimal mining;A1
1992-1996;1;7.6483;Minimal mining;A1
1992-1996;1;7.8445;Minimal mining;A1
1992-1996;1;7.8693;Minimal mining;A1
1992-1996;1;7.932;Minimal mining;A1
1992-1996;1;8.408;Minimal mining;A1
1992-1996;1;8.5543;Minimal mining;A1
1992-1996;1;8.8068;Minimal mining;A1
1992-1996;1;8.813;Minimal mining;A1
1992-1996;1;8.8175;Minimal mining;A1
1992-1996;1;8.8998;Minimal mining;A1
1992-1996;1;8.9275;Minimal mining;A1
1992-1996;1;9.4415;Minimal mining;A1
1992-1996;1;9.446;Minimal mining;A1
1992-1996;1;9.46;Minimal mining;A1
1992-1996;1;9.6258;Minimal mining;A1
1992-1996;1;9.6815;Minimal mining;A1
1992-1996;1;9.7743;Minimal mining;A1
1992-1996;1;10.138;Minimal mining;A1
1992-1996;1;10.2668;Minimal mining;A1
1992-1996;1;10.2915;Minimal mining;A1
1992-1996;1;10.7338;Minimal mining;A1
1992-1996;1;10.7545;Minimal mining;A1
1992-1996;1;10.7805;Minimal mining;A1
1992-1996;1;10.93;Minimal mining;A1
1992-1996;1;11.034;Minimal mining;A1
1992-1996;1;11.069;Minimal mining;A1
1992-1996;1;11.2313;Minimal mining;A1
1992-1996;1;11.274;Minimal mining;A1
1992-1996;1;11.283;Minimal mining;A1
1992-1996;1;11.322;Minimal mining;A1
1992-1996;1;11.9725;Minimal mining;A1
1992-1996;1;11.9918;Minimal mining;A1
1992-1996;1;12.3343;Minimal mining;A1
1992-1996;1;12.413;Minimal mining;A1
1992-1996;1;12.416;Minimal mining;A1
1992-1996;1;12.4228;Minimal mining;A1
1992-1996;1;12.5125;Minimal mining;A1
1992-1996;1;12.9213;Minimal mining;A1
1992-1996;1;13.1813;Minimal mining;A1
1992-1996;1;13.528;Minimal mining;A1
1992-1996;1;13.5853;Minimal mining;A1
1992-1996;1;13.6125;Minimal mining;A1
1992-1996;1;14.1558;Minimal mining;A1
1992-1996;1;14.3813;Minimal mining;A1
1992-1996;1;14.485;Minimal mining;A1
1992-1996;1;14.9095;Minimal mining;A1
1992-1996;1;16.1145;Minimal mining;A1
1992-1996;1;16.2598;Minimal mining;A1
1992-1996;1;16.2693;Minimal mining;A1
1992-1996;1;16.503;Minimal mining;A1
1992-1996;1;16.544;Minimal mining;A1
1992-1996;1;18.5803;Minimal mining;A1
1992-1996;1;18.928;Minimal mining;A1
1992-1996;1;20.8775;Minimal mining;A1
1992-1996;1;21.2463;Minimal mining;A1
1992-1996;1;23.4633;Minimal mining;A1
1992-1996;1;23.4985;Minimal mining;A1
1992-1996;1;23.6615;Minimal mining;A1
1992-1996;1;23.7165;Minimal mining;A1
1992-1996;1;23.752;Minimal mining;A1
1992-1996;1;32.4773;Minimal mining;A1
1992-1996;1;42.5793;Minimal mining;A1
1992-1996;1;42.652;Minimal mining;A1
1996-2000;1;63.6625;Minimal mining;A1
1996-2000;1;32.5598;Minimal mining;A1
1996-2000;1;6.3865;Minimal mining;A1
1996-2000;1;0.2743;Minimal mining;A1
1996-2000;1;5.5385;Minimal mining;A1
1996-2000;1;4.7345;Minimal mining;A1
1996-2000;1;4.5778;Minimal mining;A1
1996-2000;1;4.5978;Minimal mining;A1
1996-2000;1;4.64;Minimal mining;A1
1996-2000;1;4.4795;Minimal mining;A1
1996-2000;1;3.7248;Minimal mining;A1
1996-2000;1;2.678;Minimal mining;A1
1996-2000;1;1.941;Minimal mining;A1
1996-2000;1;1.5768;Minimal mining;A1
1996-2000;1;1.4958;Minimal mining;A1
1996-2000;1;11.299;Minimal mining;A1
1996-2000;1;11.5098;Minimal mining;A1
1996-2000;1;1.7908;Minimal mining;A1
1996-2000;1;1.7695;Minimal mining;A1
1996-2000;1;8.511;Minimal mining;A1
1996-2000;1;8.3488;Minimal mining;A1
1996-2000;1;8.2973;Minimal mining;A1
1996-2000;1;8.3618;Minimal mining;A1
1996-2000;1;8.444;Minimal mining;A1
1996-2000;1;1.4;Minimal mining;A1
1996-2000;1;1.7295;Minimal mining;A1
1996-2000;1;2.5245;Minimal mining;A1
1996-2000;1;3.324;Minimal mining;A1
1996-2000;1;6.3298;Minimal mining;A1
1996-2000;1;4.9735;Minimal mining;A1
1996-2000;1;4.3573;Minimal mining;A1
1996-2000;1;5.2735;Minimal mining;A1
1996-2000;1;6.9023;Minimal mining;A1
1996-2000;1;15.9748;Minimal mining;A1
1996-2000;1;17.6833;Minimal mining;A1
1996-2000;1;10.906;Minimal mining;A1
1996-2000;1;5.0925;Minimal mining;A1
1996-2000;1;3.64;Minimal mining;A1
1996-2000;1;2.8188;Minimal mining;A1
1996-2000;1;12.815;Minimal mining;A1
1996-2000;1;13.2678;Minimal mining;A1
1996-2000;1;13.944;Minimal mining;A1
1996-2000;1;4.4885;Minimal mining;A1
1996-2000;1;7.2608;Minimal mining;A1
1996-2000;1;6.4;Minimal mining;A1
1996-2000;1;4.6543;Minimal mining;A1
1996-2000;1;4.6283;Minimal mining;A1
1996-2000;1;4.4643;Minimal mining;A1
1996-2000;1;3.986;Minimal mining;A1
1996-2000;1;4.9858;Minimal mining;A1
1996-2000;1;13.4113;Minimal mining;A1
1996-2000;1;13.9933;Minimal mining;A1
1996-2000;1;6.8268;Minimal mining;A1
1996-2000;1;7.1843;Minimal mining;A1
1996-2000;1;6.7668;Minimal mining;A1
1996-2000;1;6.1235;Minimal mining;A1
1996-2000;1;5.8283;Minimal mining;A1
1996-2000;1;4.7238;Minimal mining;A1
1996-2000;1;4.4615;Minimal mining;A1
1996-2000;1;4.6633;Minimal mining;A1
1996-2000;1;5.045;Minimal mining;A1
1996-2000;1;4.3523;Minimal mining;A1
1996-2000;1;5.9095;Minimal mining;A1
1996-2000;1;6.1638;Minimal mining;A1
1996-2000;1;15.9518;Minimal mining;A1
1996-2000;1;16.3585;Minimal mining;A1
1996-2000;1;6.5478;Minimal mining;A1
1996-2000;1;7.5653;Minimal mining;A1
1996-2000;1;9.1498;Minimal mining;A1
1996-2000;1;6.6548;Minimal mining;A1
1996-2000;1;13.1215;Minimal mining;A1
1996-2000;1;11.6765;Minimal mining;A1
1996-2000;1;10.1835;Minimal mining;A1
1996-2000;1;4.4745;Minimal mining;A1
1996-2000;1;3.0445;Minimal mining;A1
1996-2000;1;1.9045;Minimal mining;A1
1996-2000;1;11.6265;Minimal mining;A1
1996-2000;1;11.487;Minimal mining;A1
1996-2000;1;11.5133;Minimal mining;A1
1996-2000;1;2.3218;Minimal mining;A1
1996-2000;1;2.6228;Minimal mining;A1
1996-2000;1;2.8555;Minimal mining;A1
1996-2000;1;8.0963;Minimal mining;A1
1996-2000;1;7.934;Minimal mining;A1
1996-2000;1;7.7223;Minimal mining;A1
1996-2000;1;3.041;Minimal mining;A1
1996-2000;1;2.8968;Minimal mining;A1
1996-2000;1;12.9983;Minimal mining;A1
1996-2000;1;13.027;Minimal mining;A1
1996-2000;1;13.111;Minimal mining;A1
1996-2000;1;13.168;Minimal mining;A1
1996-2000;1;13.056;Minimal mining;A1
1996-2000;1;22.0595;Minimal mining;A1
1996-2000;1;21.2668;Minimal mining;A1
1996-2000;1;12.0593;Minimal mining;A1
1996-2000;1;11.2443;Minimal mining;A1
1996-2000;1;10.3863;Minimal mining;A1
1996-2000;1;9.543;Minimal mining;A1
1996-2000;1;8.7655;Minimal mining;A1
1996-2000;1;4.7935;Minimal mining;A1
1996-2000;1;3.2858;Minimal mining;A1
1996-2000;1;7.8915;Minimal mining;A1
1996-2000;1;7.8543;Minimal mining;A1
1996-2000;1;8.0565;Minimal mining;A1
1996-2000;1;8.5075;Minimal mining;A1
1996-2000;1;18.1315;Minimal mining;A1
1996-2000;1;18.6903;Minimal mining;A1
1996-2000;1;9.4993;Minimal mining;A1
1996-2000;1;9.8593;Minimal mining;A1
1996-2000;1;10.308;Minimal mining;A1
1996-2000;1;10.8263;Minimal mining;A1
1996-2000;1;11.279;Minimal mining;A1
1996-2000;1;11.5958;Minimal mining;A1
1996-2000;1;11.8538;Minimal mining;A1
1996-2000;1;4.071;Minimal mining;A1
1996-2000;1;2.8875;Minimal mining;A1
1996-2000;1;2.4053;Minimal mining;A1
1996-2000;1;12.0753;Minimal mining;A1
1996-2000;1;21.9578;Minimal mining;A1
1996-2000;1;21.981;Minimal mining;A1
1996-2000;1;12.057;Minimal mining;A1
1996-2000;1;12.366;Minimal mining;A1
1996-2000;1;4.3065;Minimal mining;A1
1996-2000;1;9.1498;Minimal mining;A1
1996-2000;1;16.0948;Minimal mining;A1
2000-2004;1;26.8815;Moderate mining;A1
2000-2004;1;26.5398;Moderate mining;A1
2000-2004;1;26.4268;Moderate mining;A1
2000-2004;1;26.2558;Moderate mining;A1
2000-2004;1;25.2988;Moderate mining;A1
2000-2004;1;23.8165;Moderate mining;A1
2000-2004;1;22.0845;Moderate mining;A1
2000-2004;1;20.663;Moderate mining;A1
2000-2004;1;20.4858;Moderate mining;A1
2000-2004;1;20.1455;Moderate mining;A1
2000-2004;1;20.1188;Moderate mining;A1
2000-2004;1;19.5538;Moderate mining;A1
2000-2004;1;19.3653;Moderate mining;A1
2000-2004;1;19.2455;Moderate mining;A1
2000-2004;1;18.8868;Moderate mining;A1
2000-2004;1;18.742;Moderate mining;A1
2000-2004;1;18.4458;Moderate mining;A1
2000-2004;1;17.9593;Moderate mining;A1
2000-2004;1;17.869;Moderate mining;A1
2000-2004;1;17.6068;Moderate mining;A1
2000-2004;1;17.1635;Moderate mining;A1
2000-2004;1;17.0393;Moderate mining;A1
2000-2004;1;16.5125;Moderate mining;A1
2000-2004;1;15.9958;Moderate mining;A1
2000-2004;1;15.541;Moderate mining;A1
2000-2004;1;15.2365;Moderate mining;A1
2000-2004;1;14.5088;Moderate mining;A1
2000-2004;1;14.171;Moderate mining;A1
2000-2004;1;13.9253;Moderate mining;A1
2000-2004;1;13.758;Moderate mining;A1
2000-2004;1;13.753;Moderate mining;A1
2000-2004;1;13.6843;Moderate mining;A1
2000-2004;1;13.557;Moderate mining;A1
2000-2004;1;13.4303;Moderate mining;A1
2000-2004;1;13.2528;Moderate mining;A1
2000-2004;1;13.2488;Moderate mining;A1
2000-2004;1;13.1458;Moderate mining;A1
2000-2004;1;13.0453;Moderate mining;A1
2000-2004;1;12.8165;Moderate mining;A1
2000-2004;1;12.7465;Moderate mining;A1
2000-2004;1;12.6905;Moderate mining;A1
2000-2004;1;12.4288;Moderate mining;A1
2000-2004;1;11.7633;Moderate mining;A1
2000-2004;1;11.7188;Moderate mining;A1
2000-2004;1;10.949;Moderate mining;A1
2000-2004;1;10.8288;Moderate mining;A1
2000-2004;1;10.3513;Moderate mining;A1
2000-2004;1;10.18;Moderate mining;A1
2000-2004;1;9.625;Moderate mining;A1
2000-2004;1;9.3593;Moderate mining;A1
2000-2004;1;9.3485;Moderate mining;A1
2000-2004;1;9.2563;Moderate mining;A1
2000-2004;1;9.0903;Moderate mining;A1
2000-2004;1;9.0818;Moderate mining;A1
2000-2004;1;8.7933;Moderate mining;A1
2000-2004;1;8.6635;Moderate mining;A1
2000-2004;1;8.658;Moderate mining;A1
2000-2004;1;8.6058;Moderate mining;A1
2000-2004;1;8.541;Moderate mining;A1
2000-2004;1;8.5318;Moderate mining;A1
2000-2004;1;8.49;Moderate mining;A1
2000-2004;1;8.3935;Moderate mining;A1
2000-2004;1;8.2523;Moderate mining;A1
2000-2004;1;8.0968;Moderate mining;A1
2000-2004;1;8.0423;Moderate mining;A1
2000-2004;1;8.0243;Moderate mining;A1
2000-2004;1;7.8753;Moderate mining;A1
2000-2004;1;7.84;Moderate mining;A1
2000-2004;1;7.6515;Moderate mining;A1
2000-2004;1;7.6385;Moderate mining;A1
2000-2004;1;7.5928;Moderate mining;A1
2000-2004;1;7.4735;Moderate mining;A1
2000-2004;1;7.3153;Moderate mining;A1
2000-2004;1;7.3103;Moderate mining;A1
2000-2004;1;7.2545;Moderate mining;A1
2000-2004;1;7.0723;Moderate mining;A1
2000-2004;1;6.9553;Moderate mining;A1
2000-2004;1;6.9533;Moderate mining;A1
2000-2004;1;6.9083;Moderate mining;A1
2000-2004;1;6.8425;Moderate mining;A1
2000-2004;1;6.8355;Moderate mining;A1
2000-2004;1;6.6148;Moderate mining;A1
2000-2004;1;6.346;Moderate mining;A1
2000-2004;1;6.3065;Moderate mining;A1
2000-2004;1;6.305;Moderate mining;A1
2000-2004;1;6.1535;Moderate mining;A1
2000-2004;1;6.0605;Moderate mining;A1
2000-2004;1;6.0358;Moderate mining;A1
2000-2004;1;5.931;Moderate mining;A1
2000-2004;1;5.904;Moderate mining;A1
2000-2004;1;5.7688;Moderate mining;A1
2000-2004;1;5.7568;Moderate mining;A1
2000-2004;1;5.7288;Moderate mining;A1
2000-2004;1;5.673;Moderate mining;A1
2000-2004;1;5.669;Moderate mining;A1
2000-2004;1;5.5198;Moderate mining;A1
2000-2004;1;5.351;Moderate mining;A1
2000-2004;1;5.338;Moderate mining;A1
2000-2004;1;5.2445;Moderate mining;A1
2000-2004;1;5.1818;Moderate mining;A1
2000-2004;1;5.1658;Moderate mining;A1
2000-2004;1;5.1278;Moderate mining;A1
2000-2004;1;5.087;Moderate mining;A1
2000-2004;1;5.066;Moderate mining;A1
2000-2004;1;4.9445;Moderate mining;A1
2000-2004;1;4.9225;Moderate mining;A1
2000-2004;1;4.9165;Moderate mining;A1
2000-2004;1;4.8025;Moderate mining;A1
2000-2004;1;4.7693;Moderate mining;A1
2000-2004;1;4.763;Moderate mining;A1
2000-2004;1;4.731;Moderate mining;A1
2000-2004;1;4.6933;Moderate mining;A1
2000-2004;1;4.6193;Moderate mining;A1
2000-2004;1;4.5638;Moderate mining;A1
2000-2004;1;4.4655;Moderate mining;A1
2000-2004;1;4.306;Moderate mining;A1
2000-2004;1;4.0433;Moderate mining;A1
2000-2004;1;4.008;Moderate mining;A1
2000-2004;1;3.8905;Moderate mining;A1
2000-2004;1;3.851;Moderate mining;A1
2000-2004;1;3.6248;Moderate mining;A1
2000-2004;1;3.623;Moderate mining;A1
2000-2004;1;3.6153;Moderate mining;A1
2000-2004;1;3.6078;Moderate mining;A1
2000-2004;1;3.607;Moderate mining;A1
2000-2004;1;3.5458;Moderate mining;A1
2000-2004;1;3.4913;Moderate mining;A1
2000-2004;1;3.363;Moderate mining;A1
2000-2004;1;3.317;Moderate mining;A1
2000-2004;1;3.313;Moderate mining;A1
2000-2004;1;3.1728;Moderate mining;A1
2000-2004;1;3.1315;Moderate mining;A1
2000-2004;1;3.116;Moderate mining;A1
2000-2004;1;3.0738;Moderate mining;A1
2000-2004;1;3.03;Moderate mining;A1
2000-2004;1;3.0208;Moderate mining;A1
2000-2004;1;3.0135;Moderate mining;A1
2000-2004;1;2.6645;Moderate mining;A1
2000-2004;1;2.599;Moderate mining;A1
2000-2004;1;2.511;Moderate mining;A1
2000-2004;1;2.3538;Moderate mining;A1
2000-2004;1;2.18;Moderate mining;A1
2000-2004;1;1.8008;Moderate mining;A1
2000-2004;1;1.4168;Moderate mining;A1
2000-2004;1;1.2265;Moderate mining;A1
2000-2004;1;1.1965;Moderate mining;A1
2000-2004;1;0.6453;Moderate mining;A1
2004-2008;1;12.0103;Moderate mining;A1
2004-2008;1;11.132;Moderate mining;A1
2004-2008;1;11.1163;Moderate mining;A1
2004-2008;1;11.8553;Moderate mining;A1
2004-2008;1;3.8758;Moderate mining;A1
2004-2008;1;3.8833;Moderate mining;A1
2004-2008;1;3.463;Moderate mining;A1
2004-2008;1;3.0113;Moderate mining;A1
2004-2008;1;2.6143;Moderate mining;A1
2004-2008;1;2.296;Moderate mining;A1
2004-2008;1;2.2608;Moderate mining;A1
2004-2008;1;2.3718;Moderate mining;A1
2004-2008;1;1.9485;Moderate mining;A1
2004-2008;1;1.2;Moderate mining;A1
2004-2008;1;1.6533;Moderate mining;A1
2004-2008;1;2.4965;Moderate mining;A1
2004-2008;1;3.2008;Moderate mining;A1
2004-2008;1;9.6718;Moderate mining;A1
2004-2008;1;7.7538;Moderate mining;A1
2004-2008;1;5.7593;Moderate mining;A1
2004-2008;1;3.3795;Moderate mining;A1
2004-2008;1;1.0968;Moderate mining;A1
2004-2008;1;2.2528;Moderate mining;A1
2004-2008;1;4.0583;Moderate mining;A1
2004-2008;1;4.4208;Moderate mining;A1
2004-2008;1;3.7233;Moderate mining;A1
2004-2008;1;3.049;Moderate mining;A1
2004-2008;1;3.0683;Moderate mining;A1
2004-2008;1;3.382;Moderate mining;A1
2004-2008;1;3.6525;Moderate mining;A1
2004-2008;1;6.796;Moderate mining;A1
2004-2008;1;6.819;Moderate mining;A1
2004-2008;1;6.9383;Moderate mining;A1
2004-2008;1;7.1265;Moderate mining;A1
2004-2008;1;3.2513;Moderate mining;A1
2004-2008;1;13.2183;Moderate mining;A1
2004-2008;1;13.3785;Moderate mining;A1
2004-2008;1;13.4958;Moderate mining;A1
2004-2008;1;3.3748;Moderate mining;A1
2004-2008;1;6.947;Moderate mining;A1
2004-2008;1;7.734;Moderate mining;A1
2004-2008;1;17.6995;Moderate mining;A1
2004-2008;1;18.565;Moderate mining;A1
2004-2008;1;19.1485;Moderate mining;A1
2004-2008;1;9.8818;Moderate mining;A1
2004-2008;1;0.479;Moderate mining;A1
2004-2008;1;0.5505;Moderate mining;A1
2004-2008;1;1.2143;Moderate mining;A1
2004-2008;1;2.1143;Moderate mining;A1
2004-2008;1;3.3773;Moderate mining;A1
2004-2008;1;10.5448;Moderate mining;A1
2004-2008;1;11.6353;Moderate mining;A1
2004-2008;1;4.5763;Moderate mining;A1
2004-2008;1;4.466;Moderate mining;A1
2004-2008;1;4.3278;Moderate mining;A1
2004-2008;1;4.2263;Moderate mining;A1
2004-2008;1;4.2708;Moderate mining;A1
2004-2008;1;14.825;Moderate mining;A1
2004-2008;1;15.2125;Moderate mining;A1
2004-2008;1;4.7813;Moderate mining;A1
2004-2008;1;4.953;Moderate mining;A1
2004-2008;1;4.9173;Moderate mining;A1
2004-2008;1;4.929;Moderate mining;A1
2004-2008;1;5.145;Moderate mining;A1
2004-2008;1;5.5168;Moderate mining;A1
2004-2008;1;5.806;Moderate mining;A1
2004-2008;1;5.838;Moderate mining;A1
2004-2008;1;15.251;Moderate mining;A1
2004-2008;1;15.481;Moderate mining;A1
2004-2008;1;5.2113;Moderate mining;A1
2004-2008;1;4.7583;Moderate mining;A1
2004-2008;1;4.5348;Moderate mining;A1
2004-2008;1;6.0558;Moderate mining;A1
2004-2008;1;6.3578;Moderate mining;A1
2004-2008;1;6.936;Moderate mining;A1
2004-2008;1;3.3048;Moderate mining;A1
2004-2008;1;2.024;Moderate mining;A1
2004-2008;1;8.0648;Moderate mining;A1
2004-2008;1;8.2538;Moderate mining;A1
2004-2008;1;8.1528;Moderate mining;A1
2004-2008;1;7.8343;Moderate mining;A1
2004-2008;1;3.224;Moderate mining;A1
2004-2008;1;3.0588;Moderate mining;A1
2004-2008;1;7.2185;Moderate mining;A1
2004-2008;1;7.2223;Moderate mining;A1
2004-2008;1;2.8193;Moderate mining;A1
2004-2008;1;12.4028;Moderate mining;A1
2004-2008;1;12.0845;Moderate mining;A1
2004-2008;1;2.1555;Moderate mining;A1
2004-2008;1;1.8563;Moderate mining;A1
2004-2008;1;8.1613;Moderate mining;A1
2004-2008;1;8.235;Moderate mining;A1
2004-2008;1;1.8013;Moderate mining;A1
2004-2008;1;1.6045;Moderate mining;A1
2004-2008;1;8.5285;Moderate mining;A1
2004-2008;1;8.6218;Moderate mining;A1
2004-2008;1;1.4423;Moderate mining;A1
2004-2008;1;1.4658;Moderate mining;A1
2004-2008;1;1.4758;Moderate mining;A1
2004-2008;1;1.454;Moderate mining;A1
2004-2008;1;8.7468;Moderate mining;A1
2004-2008;1;8.719;Moderate mining;A1
2004-2008;1;1.4678;Moderate mining;A1
